"Basic Fees Structure - Tier 1 - (chullikal , fortkochi, eraveli, palluruthi) Branch",,,,,,,,
Class,Annual Fees,Early Bird,One Time Payment,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,17000,15400,14100,14600,5100,3600,3600,2300
9 State,19750,17800,16300,16900,5900,4200,4200,2600
10 State,19750,17800,16300,16900,5900,4200,4200,2600
Plus One,21000,19000,17400,18000,6300,4500,4500,2700
Plus Two,21000,19000,17400,18000,6300,4500,4500,2700
,,,,,,,,
"Basic Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
8 State,17000,"15,400","15,000","2,600","2,000","15,400","2,000","1,400"
9 State,19750,"17,800","17,300","3,000","2,300","17,800","2,400","1,000"
10 State,19750,"17,800","17,300","3,000","2,300","17,800","2,400","1,000"
Plus One,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
Plus Two,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
,,,,,,,,
,,,,,,,,
"Intrmediate Fees Structure - Tier 1(chullikal , fortkochi, eraveli, palluruthi) Branch",,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,25750,23000,21100,21900,7700,5500,5500,3200
9 State,25750,23000,21100,21900,7700,5500,5500,3200
10 State,25750,23000,21100,21900,7700,5500,5500,3200
Plus One,32500,29000,26600,27600,9700,6900,6900,4100
Plus Two,32500,29000,26600,27600,9700,6900,6900,4100
,,,,,,,,
"Intrmediate Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
8 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
9 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
10 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
Plus One,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
Plus Two,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
,,,,,,,,
"Advanced Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,27750,25000,22900,23700,8300,5900,5900,3600
9 State,27750,25000,22900,23700,8300,5900,5900,3600
10 State,27750,25000,22900,23700,8300,5900,5900,3600
Plus One,34500,31000,28400,29400,10300,7300,7300,4500
Plus Two,34500,31000,28400,29400,10300,7300,7300,4500
,,,,,,,,
"Advanced Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
8 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
9 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
10 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
Plus One,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
Plus Two,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Basic Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,19750,17800,16300,16900,5900,4200,4200,2600
10 State,19750,17800,16300,16900,5900,4200,4200,2600
Plus One,21000,19000,17400,18000,6300,4500,4500,2700
Plus Two,21000,19000,17400,18000,6300,4500,4500,2700
,,,,,,,,
Basic Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,19750,"17,800","17,400","3,000","2,400","17,800","2,400","1,000"
10 State,19750,"17,800","17,400","3,000","2,400","17,800","2,400","1,000"
Plus One,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
Plus Two,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,25750,23000,21100,21900,7700,5500,5500,3200
10 State,25750,23000,21100,21900,7700,5500,5500,3200
Plus One,32500,29000,26600,27600,9700,6900,6900,4100
Plus Two,32500,29000,26600,27600,9700,6900,6900,4100
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
9 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
10 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
Plus One,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
Plus Two,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,27750,25000,22700,23700,8300,5900,5900,3600
10 State,27750,25000,22700,23700,8300,5900,5900,3600
Plus One,34500,31000,28200,29400,10300,7300,7300,4500
Plus Two,34500,31000,28200,29400,10300,7300,7300,4500
,,,,,,,,
Advanced Fees Structure - Thoppumpady Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
10 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
Plus One,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
Plus Two,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Basic Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,19750,17800,16300,16900,5900,4200,4200,2600
9 Cbse,27750,25000,22900,23700,8300,5900,5900,3600
10 State,19750,17800,16300,16900,5900,4200,4200,2600
10 Cbse,27750,25000,22900,23700,8300,5900,5900,3600
,,,,,,,,
Basic Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,19750,"17,800","17,400","3,000","2,400","17,800","2,400","1,000"
9 Cbse,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
10 State,19750,"17,800","17,400","3,000","2,400","17,800","2,400","1,000"
10 Cbse,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,25750,23000,21100,21900,7700,5500,5500,3200
9 Cbse,39000,35000,32100,33300,11700,8300,8300,5000
10 State,25750,23000,21100,21900,7700,5500,5500,3200
10 Cbse,39000,35000,32100,33300,11700,8300,8300,5000
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
9 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
9 Cbse,39000,"35,000","34,100","5,700","5,600","35,000","4,400","4,200"
10 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
10 Cbse,39000,"35,000","34,100","5,700","5,600","35,000","4,400","4,200"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,27750,25000,22900,23800,8300,5900,5900,3700
9 Cbse,41000,37000,33900,35200,12300,8700,8700,5500
10 State,27750,25000,22900,23800,8300,5900,5900,3700
10 Cbse,41000,37000,33900,35200,12300,8700,8700,5500
,,,,,,,,
Advanced Fees Structure - Moolamkuzhi Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
9 Cbse,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
10 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
10 Cbse,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Basic Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 Cbse,48500,43000,39400,40900,14300,10200,10200,6200
10 Cbse,48500,43000,39400,40900,14300,10200,10200,6200
Plus One,68500,61000,55900,57900,20400,14400,14400,8700
Plus Two,68500,61000,55900,57900,20400,14400,14400,8700
,,,,,,,,
Basic Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 Cbse,48500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 Cbse,48500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
Plus One,68500,"61,000","59,500","10,300","8,000","61,000","8,100","4,300"
Plus Two,68500,"61,000","59,500","10,300","8,000","61,000","8,100","4,300"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 Cbse,59000,53000,48600,46200,16200,11600,11600,6800
10 Cbse,59000,53000,48600,46200,16200,11600,11600,6800
Plus One,76000,71000,65100,61900,21700,15500,15500,9200
Plus Two,76000,71000,65100,61900,21700,15500,15500,9200
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
9 Cbse,59000,"53,000","51,700","8,700","8,200","53,000","6,700","6,100"
10 Cbse,59000,"53,000","51,700","8,700","8,200","53,000","6,700","6,100"
Plus One,76000,"71,000","69,200","11,600","11,200","71,000","8,900","8,700"
Plus Two,76000,"71,000","69,200","11,600","11,200","71,000","8,900","8,700"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 Cbse,61000,55000,50400,52300,18300,13100,13100,7800
10 Cbse,61000,55000,50400,52300,18300,13100,13100,7800
Plus One,81000,73000,66900,69400,24400,17300,17300,10400
Plus Two,81000,73000,66900,69400,24400,17300,17300,10400
,,,,,,,,
Advanced Fees Structure - Kadavanthra Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
10 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
Plus One,81000,"73,000","71,100","12,400","9,100","73,000","9,700","5,100"
Plus Two,81000,"73,000","71,100","12,400","9,100","73,000","9,700","5,100"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Basic Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,21000,19000,17400,18100,6400,4500,4500,2700
8 Cbse,27750,25000,22900,23800,8400,5900,5900,3600
9 State,27750,25000,22900,23800,8400,5900,5900,3600
9 Cbse,34500,31000,28400,29500,10300,7400,7400,4400
10 State,27750,25000,22900,23800,8400,5900,5900,3600
10 Cbse,34500,31000,28400,29500,10300,7400,7400,4400
Plus One ,41000,37000,33900,35200,12300,8800,8800,5300
Plus Two,41000,37000,33900,35200,12300,8800,8800,5300
,,,,,,,,
Basic Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
8 State,21000,"19,000","18,600","3,200","2,600","19,000","2,500","1,500"
8 Cbse,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
9 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
9 Cbse,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
10 State,27750,"25,000","24,400","4,200","3,400","25,000","3,300","1,900"
10 Cbse,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
Plus One,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
Plus Two,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,32500,29000,26700,27600,9700,6900,6900,4100
8 Cbse,39000,35000,32100,33300,11700,8300,8300,5000
9 State,39000,35000,32100,33300,11700,8300,8300,5000
9 Cbse,45750,41000,37600,39000,13700,9800,9800,5700
10 State,39000,35000,32100,33300,11700,8300,8300,5000
10 Cbse,45750,41000,37600,39000,13700,9800,9800,5700
Plus One ,52500,47000,43100,44700,15600,11200,11200,6700
Plus Two,52500,47000,43100,44700,15600,11200,11200,6700
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
8 State,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
8 Cbse,39000,"35,000","34,100","5,700","5,600","35,000","4,400","4,200"
9 State,39000,"35,000","34,100","5,700","5,600","35,000","4,400","4,200"
9 Cbse,45750,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
10 State,39000,"35,000","34,100","5,700","5,600","35,000","4,400","4,200"
10 Cbse,45750,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
Plus One ,52500,"47,000","45,800","7,700","7,300","47,000","5,900","5,700"
Plus Two,52500,"47,000","45,800","7,700","7,300","47,000","5,900","5,700"
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,34500,31000,28400,29400,10400,7300,7300,4400
8 Cbse,41000,37000,33900,35100,12400,8700,8700,5300
9 State,41000,37000,33900,35100,12400,8700,8700,5300
9 Cbse,47750,43000,39400,40900,14400,10200,10200,6100
10 State,41000,37000,33900,35100,12400,8700,8700,5300
10 Cbse,47750,43000,39400,40900,14400,10200,10200,6100
Plus One ,54500,49000,44900,46600,16400,11600,11600,7000
Plus Two,54500,49000,44900,46600,16400,11600,11600,7000
,,,,,,,,
Advanced Fees Structure - Vennala Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
8 State,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
8 Cbse,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
9 State,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
9 Cbse,47750,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 State,41000,"37,000","36,100","6,300","4,600","37,000","4,900","2,700"
10 Cbse,47750,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
Plus One,54500,"49,000","47,800","8,300","6,300","49,000","6,500","3,500"
Plus Two,54500,"49,000","47,800","8,300","6,300","49,000","6,500","3,500"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Basic Fees Structure - Edappally Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,34500,31000,28400,29500,10400,7300,7300,4500
9 Cbse,47500,43000,39400,40900,14400,10200,10200,6100
10 State,34500,31000,28400,29500,10400,7300,7300,4500
10 Cbse,47500,43000,39400,40900,14400,10200,10200,6100
Plus One ,61000,55000,50400,52300,18500,13000,13000,7800
Plus Two,61000,55000,50400,52300,18500,13000,13000,7800
,,,,,,,,
Basic Fees Structure - Edappally Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
9 Cbse,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 State,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
10 Cbse,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
Plus One,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
Plus Two,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,45500,41000,37600,39000,13600,9800,9800,5800
9 Cbse,59000,53000,48600,50400,17600,12600,12600,7600
10 State,45500,41000,37600,39000,13600,9800,9800,5800
10 Cbse,59000,53000,48600,50400,17600,12600,12600,7600
Plus One ,72500,65000,59600,61800,21500,15550,15550,9200
Plus Two,72500,65000,59600,61800,21500,15550,15550,9200
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
9 State,45500,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
9 Cbse,59000,"53,000","51,700","8,700","8,200","51,700","6,500","6,200"
10 State,45500,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
10 Cbse,59000,"53,000","51,700","8,700","8,200","51,700","6,500","6,200"
Plus One ,72500,"65,000","63,400","10,600","10,400","65,000","8,200","7,600"
Plus Two,72500,"65,000","63,400","10,600","10,400","65,000","8,200","7,600"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,47500,43000,39400,40800,14300,10200,10200,6100
9 Cbse,61000,55000,50400,52200,18400,13000,13000,7800
10 State,47500,43000,39400,40800,14300,10200,10200,6100
10 Cbse,61000,55000,50400,52200,18400,13000,13000,7800
Plus One ,74500,67000,61400,63600,22300,15900,15900,9500
Plus Two,74500,67000,61400,63600,22300,15900,15900,9500
,,,,,,,,
Advanced Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
9 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
10 State,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
Plus One,74500,"67,000","65,300","11,400","8,300","67,000","8,900","4,700"
Plus Two,74500,"67,000","65,300","11,400","8,300","67,000","8,900","4,700"
